"...1","screenName","text","created","statusSource","Created_At_Round","tweetSource","date","hour"
1,"whourj31","a soldier angry at the support fund consolation money for the bereaved family of the itaewon crush accident",2022-10-30 23:59:43,"<a href=""https://www.fs-poster.com/"" rel=""nofollow"">FS_Poster_App</a>",2022-10-31,"others",2022-10-30 23:59:43,23
2,"nnainot","nah this itaewon tragedy really has me shaken up bc wth",2022-10-30 23:59:32,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:59:32,23
3,"febry_sri_M","pray for itaewon,",2022-10-30 23:59:31,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:59:31,23
4,"telehuntwatch","translation : seoul residents lay flowers at a makeshift memorial near the site of the crush in itaewon, which kill",2022-10-30 23:59:28,"<a href=""https://ruprop.live"" rel=""nofollow"">telehunt</a>",2022-10-31,"others",2022-10-30 23:59:28,23
5,"Typing0824","the itaewon stampede incident really caught me off guard. makes me notice how important it is to know some basics f",2022-10-30 23:59:20,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:59:20,23
6,"niccijsmith","what to do about my child what to do about my child park ga-youngs mother, choi seon-mi, said as she cried for",2022-10-30 23:59:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:59:04,23
7,"502SPIDEY","can't imagine the pain the families and friends of the victims in itaewon are going through rn",2022-10-30 23:58:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:58:56,23
8,"maeannesalazar","pray for itaewon",2022-10-30 23:58:45,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:58:45,23
9,"bigvirtue1","bigvirtue1 top of top fortuneteller photos from the halloween festival in itaewon, seoul .",2022-10-30 23:58:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:58:37,23
10,"ashxxy","theres just no words to even describe the amount of pain and heartbreak i feel about those impacted by the itaewon",2022-10-30 23:58:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:58:31,23
11,"daiIybokutos","man, just read the full extent of what happened in itaewon. my heart breaks for the families and friends of the vic",2022-10-30 23:58:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-31,"iphone",2022-10-30 23:58:16,23
12,"StaffBlackpink","blackpink in houston day 2 blackpink yg bornpinkshutdown lisa jennie rose jisoo",2022-10-30 23:57:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-31,"others",2022-10-30 23:57:59,23
13,"HangukConnect","all events in suwon city will be canceled until november 5, the national mourning period for the 'itaewon crushin",2022-10-30 23:57:52,"<a href=""https://typefully.com/"" rel=""nofollow"">Typefully</a>",2022-10-31,"others",2022-10-30 23:57:52,23
14,"thirteenpeace","pray for itaewon",2022-10-30 23:57:42,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:57:42,23
15,"SmphphSuph","condolences to the deceased. pray for itaewon itaewon r.i.p",2022-10-30 23:57:28,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:57:28,23
16,"NamTrun61365560","i hope the injured get well soon and the victims who died in this incident rest in peace, this will be s",2022-10-30 23:57:24,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-31,"android",2022-10-30 23:57:24,23
